id,district,station_name,base_type,type,foundation_progress,pole_progress,latitude,longitude,pole_height,start_date,end_date,remark,created_at
8c2f81f8-8fe7-4b3e-ac7b-f95772928f5d,ปากพนัง,หมู่ ๒ นานอก,แผ่,A,95,50,8.220043,100.218995,9 เมตร,2026-02-17,,,2026-03-26 15:47:04.612346+00
9a3a7701-1faf-4bc0-bdda-898a87f48caf,เลาขวัญ,หมู่ 4 หนองจั่น,แผ่,C,100,100,14.532685,99.649881,9 เมตร,2026-02-27,2026-03-25,TW GND 3*3m. = 2.91Ω,2026-03-26 00:53:17.414575+00
a11562cd-9bca-4472-be6c-6752e972450b,เลาขวัญ,หมู่ 9 หนองข่อย,แผ่,C,100,100,14.51521,99.633163,9 เมตร,2026-02-27,2026-03-25,TW GND 3*3m. = 1.35Ω,2026-03-26 00:53:17.414575+00
a49162ba-d00e-4a1f-a5de-23bc2c81fb42,เลาขวัญ,หมู่ 6 น้ำโจน,แผ่,C,100,90,14.481615,99.745157,9 เมตร,2026-02-18,,เหลือแค่เก็บงาน 100%,2026-03-26 00:53:17.414575+00
a7627dc9-6ab8-41df-b7e6-f0697b70fd73,เลาขวัญ,หมู่ 5 หนองปรือ,เข็ม,C,100,90,14.435006,99.735956,9 เมตร,2026-02-18,,เหลือแค่เก็บงาน 100%,2026-03-26 00:53:17.414575+00
a7cff554-dc1c-4bb1-9644-13904c427cfd,ปากพนัง,หมู่ ๑๐ หัวดอน,เข็ม,A,95,50,8.235181,100.2794,9 เมตร,2026-02-18,,,2026-03-26 15:47:04.612346+00
b11c4d1b-2582-4a6c-9392-7a950b13e701,ปากพนัง,หมู่ ๖ บางมะขาม,เข็ม,A,95,60,8.206482,100.263253,9 เมตร,2026-02-17,,,2026-03-26 15:47:04.612346+00
b4b92e10-1d3f-45c0-a18b-cbc28fe9d2e4,เลาขวัญ,หมู่ 9 เหียงงาม,เข็ม,C,100,100,14.405996,99.741984,9 เมตร,2026-02-18,2026-03-17,TW GND 3*3m. = 3.37Ω,2026-03-26 00:53:17.414575+00
baf8d2c0-770b-46c0-9fbf-0f113114ab85,ปากพนัง,หมู่ ๕ ปากช่อง,เข็ม,A,95,60,8.208309,100.251279,9 เมตร,2026-02-17,,,2026-03-26 15:47:04.612346+00
bb81d9ac-f2c0-452e-a011-45a84ab0fd61,ปากพนัง,หมู่ ๘ บางตะลุมพอ,เข็ม,A,100,80,8.194579,100.257889,9 เมตร,2026-02-17,,,2026-03-26 15:47:04.612346+00
c4781d76-9598-4c13-94c0-fad2a77e119f,หัวไทร,หมู่ ๘ ย่านยาว,เข็ม,B,100,80,8.146675,100.271172,9 เมตร,2026-02-17,,,2026-03-26 15:47:04.612346+00
cbf64177-06b1-49d7-8456-509ccc72b58b,ปากพนัง,หมู่ ๑ ขนาบนาก,เข็ม,A,100,60,8.210403,100.232902,9 เมตร,2026-02-19,,,2026-03-26 15:47:04.612346+00
ce09732a-153a-4ad5-8e05-bf770fc06afa,เลาขวัญ,หมู่ 7 หนองปลิง,เข็ม,C,100,100,14.567454,99.634531,9 เมตร,2026-02-27,2026-03-25,TW GND 3*3m. = 3.40Ω,2026-03-26 00:53:17.414575+00
d0d4baf5-482d-47d5-9ffb-9f46d9c91112,ปากพนัง,หมู่ ๔ เสือร้อง,เข็ม,A,95,60,8.21007,100.211305,9 เมตร,2026-02-19,,,2026-03-26 15:47:04.612346+00
d2f95bd3-6c6d-4a3d-9896-6dcc495af607,ห้วยกระเจา,หมู่ 12 กรอกตาโพธิ์,เข็ม,B,100,100,14.374583,99.736028,9 เมตร,2026-02-11,2026-03-17,TW GND 3*3m. = 1.84Ω,2026-03-26 00:53:17.414575+00
d9a5bc63-789b-43a8-8643-14b7b14a596a,ปากพนัง,หมู่ ๙ น้ำทรัพย์,เข็ม,A,100,80,8.185152,100.28777,9 เมตร,2026-02-17,,,2026-03-26 15:47:04.612346+00
dac903fb-748e-46bd-9b98-6ffb5a05467e,ห้วยกระเจา,หมู่ 5 นาใหม่,เข็ม,C,100,90,14.391267,99.692071,9 เมตร,2026-03-01,,เหลือเก็บงาน 100%,2026-03-26 00:53:17.414575+00
ddd8958b-fd4c-4d3f-b2cd-e496732be75e,เลาขวัญ,หมู่ 11 หนองตาเกิด,เข็ม,B,100,90,14.448948,99.723167,9 เมตร,2026-02-18,,เหลือแค่เก็บงาน 100%,2026-03-26 00:53:17.414575+00
e656003f-58bc-44d1-ae1d-293131c104ae,ปากพนัง,หมู่ ๓ บางวุ่น,เข็ม,A,100,50,8.220893,100.24149,9 เมตร,2026-02-19,,,2026-03-26 15:47:04.612346+00
e6ef1bd8-c7b8-4ed3-ab1b-f8271911bfc0,ห้วยกระเจา,หมู่ 13 หนองปลอดภัย,เข็ม,C,100,90,14.365303,99.727408,9 เมตร,2026-02-11,,เหลือแค่เก็บงาน 100%,2026-03-26 00:53:17.414575+00
f623536d-af04-4b25-93ae-7b827549d7d4,ห้วยกระเจา,หมู่ 4 วังไผ่,แผ่,B,100,90,14.361925,99.689,9 เมตร,2026-02-10,,เหลือแค่เก็บงาน 100%,2026-03-26 00:53:17.414575+00
f75038de-d079-459c-8a08-62ee713a60e4,ปากพนัง,หมู่ ๒ ป่าขลู,แผ่,A,95,60,8.209216,100.237001,9 เมตร,2026-02-18,,,2026-03-26 15:47:04.612346+00
fcf8a0a6-1406-4d0f-a83a-661d5f02a58b,ปากพนัง,หมู่ ๓ บางพระ,เข็ม,A,100,60,8.201472,100.217994,9 เมตร,2026-02-18,,,2026-03-26 15:47:04.612346+00
fe679083-ecb8-40c3-a058-2fb6413223e9,หัวไทร,หมู่ ๕ ด่าน,เข็ม,A,100,60,8.144342,100.268788,9 เมตร,2026-02-18,,,2026-03-26 15:47:04.612346+00
